country,year,export_entropy_global,n_export_partners_global,top_partner_share,top_partner,export_entropy_regional,gap
BRA,2007,0.7743986905209974,14,0.322572091958117,USA,0.6992401570843083,-0.0751585334366891
BRA,2008,0.7856294344723465,14,0.2823764762188652,USA,0.6882173075704364,-0.09741212690191003
BRA,2009,0.766110853271243,14,0.28728559992620145,CHN,0.6771979538859226,-0.08891289938532032
BRA,2010,0.7661815020465081,14,0.30025392027314474,CHN,0.6631139657335611,-0.10306753631294707
BRA,2011,0.7419121742991125,14,0.3328012617340463,CHN,0.6467448943954903,-0.09516727990362217
BRA,2012,0.7407323368612102,14,0.3371878774736553,CHN,0.6955092912244194,-0.045223045636790804
BRA,2013,0.7225814251360602,14,0.36759528616326936,CHN,0.6632302773718394,-0.05935114776422079
BRA,2014,0.7266796087035986,14,0.3537503875400637,CHN,0.7250992076533691,-0.0015804010502294963
BRA,2015,0.7227140725799919,14,0.35430275622590396,CHN,0.7290722483532568,0.006358175773264918
BRA,2016,0.7233924475640234,14,0.3561555124439295,CHN,0.723133073170102,-0.0002593743939214299
BRA,2017,0.7011709917508601,14,0.3875712417004357,CHN,0.7008181668292767,-0.0003528249215833945
BRA,2018,0.6581717219786055,14,0.45841758680712635,CHN,0.7362670260376168,0.07809530405901133
BRA,2019,0.6511694793564657,14,0.47057993432482415,CHN,0.7997127265754365,0.14854324721897072
BRA,2020,0.6001233608824512,14,0.5487901149419072,CHN,0.7837175142843193,0.18359415340186813
BRA,2021,0.626457986065743,14,0.5192232207849884,CHN,0.7947779889011681,0.16832000283542514
BRA,2022,0.6654723016245976,14,0.4702920207717592,CHN,0.795438032421766,0.12996573079716844
BRA,2023,0.6301237656672634,14,0.5123437983601514,CHN,0.775769516416264,0.14564575074900066
BRA,2024,0.6258692875161233,14,0.4975791853799591,CHN,0.7822982259117669,0.15642893839564365
CHL,2000,0.808139934920632,14,0.26894198209951087,USA,0.8174222554618438,0.009282320541211808
CHL,2001,0.8193553313715841,14,0.2941932492593576,USA,0.8554203360233966,0.036065004651812504
CHL,2002,0.7985877624130676,14,0.32150660516754065,USA,0.8474127160672166,0.04882495365414896
CHL,2003,0.8354776599396353,14,0.27142075899882545,USA,0.8900223704613437,0.054544710521708395
CHL,2004,0.821113542666253,14,0.24413255830712757,USA,0.8674233692909963,0.046309826624743256
CHL,2005,0.8050054527429944,14,0.2512333880562582,USA,0.8489824126618883,0.04397695991889394
CHL,2006,0.8111779692857944,14,0.26248461188439337,USA,0.8246237127059394,0.013445743420144929
CHL,2007,0.7991204289205817,14,0.24546821555424836,CHN,0.8284413064255162,0.029320877504934506
CHL,2008,0.8334158311966339,14,0.2144640922038686,CHN,0.8430754545347097,0.009659623338075796
