country,year,export_entropy,n_export_partners
BRA,2010,0.7661815020465081,14
BRA,2011,0.7419121742991125,14
BRA,2012,0.7407323368612102,14
BRA,2013,0.7225814251360602,14
BRA,2014,0.7266796087035986,14
BRA,2015,0.7227140725799919,14
BRA,2016,0.7233924475640234,14
BRA,2017,0.7011709917508601,14
BRA,2018,0.6581717219786055,14
BRA,2019,0.6511694793564657,14
BRA,2020,0.6001233608824512,14
BRA,2021,0.626457986065743,14
BRA,2022,0.6654723016245976,14
BRA,2023,0.6301237656672634,14
BRA,2024,0.6258692875161233,14
BRA,2025,0.628860321711634,14
CHL,2000,0.808139934920632,14
CHL,2001,0.8193553313715841,14
CHL,2002,0.7985877624130676,14
CHL,2003,0.8354776599396353,14
CHL,2004,0.821113542666253,14
CHL,2005,0.8050054527429944,14
CHL,2006,0.8111779692857944,14
CHL,2007,0.7991204289205817,14
CHL,2008,0.8334158311966339,14
CHL,2009,0.7656143426288333,14
CHL,2010,0.7507308885503159,14
CHL,2011,0.7568479560287599,14
CHL,2012,0.7484537897986916,14
CHL,2013,0.7428272286735083,14
CHL,2014,0.7476038985710493,14
CHL,2015,0.741470880458937,14
CHL,2016,0.724235145263236,14
CHL,2017,0.7253667891029738,14
CHL,2018,0.681941657375679,14
CHL,2019,0.6889754334056603,14
CHL,2020,0.6383430930098305,14
CHL,2021,0.6268517993234592,14
CHL,2022,0.6398207944791464,14
CHL,2023,0.645194821815606,14
CHL,2024,0.6362076721722574,14
CHL,2025,0.6387411135231758,14
COL,2000,0.451768382967087,14
COL,2001,0.4827612508109532,14
COL,2002,0.48689612234069274,14
COL,2003,0.4723064091137067,14
COL,2004,0.5112475514228989,14
COL,2005,0.5099456802322554,14
COL,2006,0.5013743305922282,14
COL,2007,0.5388654158945252,14
COL,2008,0.5032393520779704,14
COL,2009,0.5015391544131732,14
COL,2010,0.5444229065207302,14
COL,2011,0.5535040831567659,14
COL,2012,0.5628660788629111,14
COL,2013,0.6220332991104012,14
COL,2014,0.643510223591985,14
COL,2015,0.6726725006123907,14
COL,2016,0.6507484078791107,14
COL,2017,0.6945812897401894,14
COL,2018,0.7126056785562486,14
COL,2019,0.6845735693426025,14
COL,2020,0.7043904875505401,14
COL,2021,0.710260587576236,14
COL,2022,0.6794463576524264,14
COL,2023,0.688089772175707,14
COL,2024,0.6785798534804602,14
COL,2025,0.586505992383561,12
ECU,2000,0.6367663484958661,14
ECU,2001,0.6030698954741646,14
ECU,2002,0.5740717548675764,14
ECU,2003,0.5654157921162689,14
ECU,2004,0.5002905024862287,14
ECU,2005,0.4542435896583308,14
ECU,2006,0.4653329116920059,14
ECU,2007,0.5107254607020152,14
ECU,2008,0.5378591153480863,14
ECU,2009,0.5827661312873252,14
ECU,2010,0.5779128410438372,14
ECU,2011,0.5171979250047675,14
ECU,2012,0.5453730376834817,14
ECU,2013,0.5492784855801702,14
ECU,2014,0.5233711078284614,14
ECU,2015,0.5961479295105361,14
ECU,2016,0.6513704259069593,14
ECU,2017,0.6540988211797658,14
ECU,2018,0.6540821859778789,14
ECU,2019,0.6396377817123751,14
