year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2021,arima,0.7710425498418159,0.7300441620778155,0.7157470640483987,0.7443412601072323,0.04099838776400033,False,ARG
2021,bayesian,0.7710425498418159,0.7245189650538654,0.6893919269694911,0.7596460031382396,0.04652358478795049,False,ARG
2021,xgboost,0.7710425498418159,0.7429537177085876,0.7357795293769945,0.7501279060401808,0.028088832133228214,False,ARG
2022,naive,0.7817043756945974,0.7710425498418159,0.7439872436154037,0.798097856068228,0.010661825852781526,True,ARG
2022,ets,0.7817043756945974,0.771362517262011,0.7489193198174805,0.7938057147065415,0.010341858432586393,True,ARG
2022,arima,0.7817043756945974,0.7542231925634275,0.7358259542849679,0.7726204308418871,0.027481183131169873,False,ARG
2022,bayesian,0.7817043756945974,0.7357360545994871,0.6995786538443238,0.7718934553546504,0.04596832109511029,False,ARG
2022,xgboost,0.7817043756945974,0.7518267035484314,0.7439204541579785,0.7597329529388843,0.02987767214616599,False,ARG
2023,naive,0.771859615621264,0.7817043756945974,0.7552443665737935,0.8081643848154013,0.009844760073333347,True,ARG
2023,ets,0.771859615621264,0.7836079446044509,0.7614371303599632,0.8057787588489387,0.011748328983186895,True,ARG
2023,arima,0.771859615621264,0.7734938769635604,0.753717247173554,0.7932705067535668,0.0016342613422963836,True,ARG
2023,bayesian,0.771859615621264,0.7461518161803193,0.7089413080160208,0.7833623243446178,0.0257077994409447,True,ARG
2023,xgboost,0.771859615621264,0.7639939785003662,0.7550722659838002,0.7729156910169322,0.007865637120897828,True,ARG
2024,naive,0.7434750063470538,0.771859615621264,0.7456348732969422,0.7980843579455859,0.02838460927421027,False,ARG
2024,ets,0.7434750063470538,0.7720643985650789,0.7502347658385564,0.7938940312916014,0.028589392218025145,False,ARG
2024,arima,0.7434750063470538,0.7662355147856368,0.7483908098983456,0.784080219672928,0.022760508438583016,False,ARG
2024,bayesian,0.7434750063470538,0.7522904919188768,0.7153573672796673,0.7892236165580863,0.00881548557182299,True,ARG
2024,xgboost,0.7434750063470538,0.768063485622406,0.7590140884383313,0.7771128828064807,0.024588479275352237,False,ARG
2025,naive,0.7299164757341533,0.7434750063470538,0.7163588473964272,0.7705911652976803,0.013558530612900466,True,ARG
2025,ets,0.7299164757341533,0.7436385832887074,0.7212087560502882,0.7660684105271265,0.013722107554554053,True,ARG
2025,arima,0.7299164757341533,0.7463118045497752,0.727300924974608,0.7653226841249424,0.01639532881562189,True,ARG
2025,bayesian,0.7299164757341533,0.7491614495369169,0.7130484428813697,0.785274456192464,0.019244973802763576,True,ARG
2025,xgboost,0.7299164757341533,0.7453490495681763,0.7362810306179313,0.7544170685184213,0.015432573834022967,False,ARG
2015,naive,0.743142761329921,0.7017599656157557,0.6535604921513101,0.7499594390802014,0.041382795714165255,True,BOL
2015,ets,0.743142761329921,0.7162588232360834,0.6848484900730775,0.7476691563990893,0.0268839380938376,True,BOL
2015,arima,0.743142761329921,0.7170409258731457,0.682052385509745,0.7520294662365464,0.026101835456775246,True,BOL
2015,bayesian,0.743142761329921,0.7121952409260575,0.6700396628669492,0.7543508189851658,0.030947520403863504,True,BOL
2015,xgboost,0.743142761329921,0.701118528842926,0.6928273980941794,0.7094096595916727,0.04202423248699494,False,BOL
2016,naive,0.8071160335734683,0.743142761329921,0.6951084451611345,0.7911770774987075,0.06397327224354732,False,BOL
2016,ets,0.8071160335734683,0.7276941411887212,0.6963490800298291,0.7590392023476134,0.07942189238474706,False,BOL
