country,year,forecast_mu,forecast_sigma,threshold_p20,p_alert,actual_alert,actual_entropy
ECU,2021,0.634026059124426,0.03683242488035095,0.5171979250047675,0.0007572706381440783,0,0.6235733269112319
ECU,2022,0.6235733269112319,0.0360118347934699,0.5184325615695062,0.0017523090102145285,0,0.5914051949351222
ECU,2023,0.5914051949351222,0.03579197815567964,0.519667198134245,0.022518765068705964,0,0.5997224558762414
ECU,2024,0.5997224558762414,0.03506917885198945,0.5209018346989839,0.012301641115167789,0,0.6630371437513527
ECU,2025,0.6630371437513527,0.03670044522965888,0.5221364712637226,6.171571295134523e-05,0,0.6443676976335332
GTM,2015,0.4893052251319557,0.07259081365162387,0.46065807943178605,0.346554767251843,0,0.5120071207521693
GTM,2016,0.5120071207521693,0.07034725458619688,0.4609053097185236,0.2337899772676626,0,0.5040104525437691
GTM,2017,0.5040104525437691,0.06815642624773847,0.46284071337269617,0.2729059322670203,0,0.5057566127296286
GTM,2018,0.5057566127296286,0.06612150268679326,0.4647761170268687,0.2677027590127257,0,0.4732823259265927
GTM,2019,0.4732823259265927,0.06472530190937327,0.4667115206810412,0.45956949953360476,0,0.4927935535806572
GTM,2020,0.4927935535806572,0.0631569823584595,0.46864692433521377,0.35110935835436097,0,0.5135323245362436
GTM,2021,0.5135323245362436,0.06171456112732242,0.4705823279893863,0.24323135150554248,0,0.5214686996005725
GTM,2022,0.5214686996005725,0.060242464285969015,0.4711223275768276,0.20165369968728858,0,0.5430134260630037
GTM,2023,0.5430134260630037,0.05899974522044173,0.47166232716426887,0.11326499536776058,0,0.5043993601339902
GTM,2024,0.5043993601339902,0.05831693108324579,0.47220232675171014,0.2904384188315702,0,0.4974255517252586
GTM,2025,0.4974255517252586,0.05711116168445062,0.4727423263391514,0.3327994211182107,0,0.5010461062539318
HND,2017,0.4096383142283001,0.04575000356836842,0.36561249432707027,0.16794621838079837,0,0.4086039094287534
HND,2018,0.4086039094287534,0.04422633644081626,0.3698672281907382,0.19054937199436095,0,0.4194555006869235
HND,2019,0.4194555006869235,0.04284689410167754,0.37761456443834124,0.1644029167488692,0,0.4024573032705977
HND,2020,0.4024573032705977,0.04189421744366334,0.382903258222682,0.32034006744289084,0,0.39045757218551
HND,2021,0.39045757218551,0.04087615746842696,0.38222143458760127,0.42015771794794476,0,0.3920835836626861
HND,2023,0.3920835836626861,0.03978711986185319,0.38633950338655565,0.44260401581449377,0,0.4012421121992376
HND,2024,0.4012421121992376,0.0388034285583709,0.39045757218551,0.39053400541878797,0,0.4135871529311772
MEX,2015,0.1971322701970929,0.016357029408986232,0.10708759041155026,1.846332782757945e-08,0,0.1905758827131121
MEX,2016,0.1905758827131121,0.016151406676357984,0.1083723501081597,1.7944886174987587e-07,0,0.1906124238476762
MEX,2017,0.1906124238476762,0.015703661734341682,0.10881890250275772,9.515404573707131e-08,0,0.2073023203221666
MEX,2018,0.2073023203221666,0.015457831967196039,0.10926545489735574,1.1324381574234489e-10,0,0.2049619011302594
MEX,2019,0.2049619011302594,0.015149870298958524,0.10971200729195375,1.6164688598604816e-10,0,0.1903174875310992
MEX,2020,0.1903174875310992,0.015432895028844847,0.11015855968655178,1.0289468920390746e-07,0,0.1929603535789836
MEX,2021,0.1929603535789836,0.015048644345452245,0.1106051120811498,2.2173764535868666e-08,0,0.1941925574263553
MEX,2022,0.1941925574263553,0.014703200263952394,0.11414524029475093,2.6017829567443376e-08,0,0.1883778174656253
MEX,2023,0.1883778174656253,0.014522308167381589,0.11768536850835205,5.640884190805822e-07,0,0.1715730979600878
MEX,2024,0.1715730979600878,0.01482029724120943,0.12122549672195318,0.00034038860964747563,0,0.1611318865527135
MEX,2025,0.1611318865527135,0.014756494860780942,0.12476562493555429,0.006861681200307059,0,0.1583054663180246
PER,2015,0.7890782313111635,0.020471789853715817,0.7148341795036142,0.00014356007424134182,0,0.767188505492044
PER,2016,0.767188505492044,0.020894539018645807,0.7172545256564061,0.008428543791009446,0,0.7182848901621204
PER,2017,0.7182848901621204,0.023856930955685408,0.717460598557549,0.48621870703044767,1,0.7008927660902743
PER,2018,0.7008927660902743,0.023506263653309496,0.7099934871980303,0.650681687601429,1,0.6991931260227136
PER,2019,0.6991931260227136,0.02284460618877084,0.7047075956666169,0.5953737410242161,1,0.6965449285767293
PER,2020,0.6965449285767293,0.022238339950514444,0.7034103906803528,0.6212334505182175,1,0.6837339802284449
PER,2021,0.6837339802284449,0.021825264697448145,0.7008927660902743,0.7841216533010531,1,0.664146205763959
PER,2022,0.664146205763959,0.021638146010269428,0.6995330540362257,0.9490165381817385,1,0.6905179664315333
PER,2023,0.6905179664315333,0.021981069033551105,0.697604207555123,0.6264173089353474,1,0.6257632285952996
PER,2024,0.6257632285952996,0.02510102201647495,0.6941341437186509,0.9967735137147131,1,0.6252478152613656
