year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2020,bayesian,0.7196681600079001,0.7401822004569465,0.6826537272510345,0.7977106736628585,0.020514040449046367,True,BOL
2020,xgboost,0.7196681600079001,0.6605622172355652,0.6460575818644342,0.6750668526066962,0.05910594277233494,False,BOL
2021,naive,0.7495286430626209,0.7196681600079001,0.6570201744172814,0.7823161455985188,0.029860483054720777,True,BOL
2021,ets,0.7495286430626209,0.7066411747025352,0.6559615591670056,0.7573207902380648,0.04288746836008572,True,BOL
2021,arima,0.7495286430626209,0.7197052404164114,0.6570204471029085,0.7823900337299142,0.02982340264620953,True,BOL
2021,bayesian,0.7495286430626209,0.7686487533327886,0.7125131290702594,0.8247843775953178,0.01912011027016769,True,BOL
2021,xgboost,0.7495286430626209,0.6908422708511353,0.6756824623306471,0.7060020793716234,0.05868637221148565,False,BOL
2022,naive,0.7426506684811005,0.7495286430626209,0.6879102627949809,0.8111470233302609,0.006877974581520396,True,BOL
2022,ets,0.7426506684811005,0.7421260173253829,0.691822378533744,0.7924296561170218,0.0005246511557176481,True,BOL
2022,arima,0.7426506684811005,0.7516718666765767,0.6899700211326054,0.813373712220548,0.009021198195476199,True,BOL
2022,bayesian,0.7426506684811005,0.7998664248292906,0.745080108814659,0.8546527408439222,0.057215756348190094,False,BOL
2022,xgboost,0.7426506684811005,0.7263053059577942,0.7109827780513207,0.7416278338642677,0.016345362523306317,False,BOL
2023,naive,0.7445107285906875,0.7426506684811005,0.6823904592086237,0.8029108777535773,0.0018600601095869473,True,BOL
2023,ets,0.7445107285906875,0.7560140060183783,0.7067056479996094,0.8053223640371472,0.011503277427690861,True,BOL
2023,arima,0.7445107285906875,0.7441622565724249,0.6838321112078469,0.8044924019370028,0.0003484720182626022,True,BOL
2023,bayesian,0.7445107285906875,0.8176188196523829,0.761874174077038,0.8733634652277279,0.07310809106169547,False,BOL
2023,xgboost,0.7445107285906875,0.7384634613990784,0.7232275804218139,0.7536993423763428,0.006047267191609085,True,BOL
2024,naive,0.7178263065470624,0.7445107285906875,0.6855747494636396,0.8034467077177353,0.02668442204362509,True,BOL
2024,ets,0.7178263065470624,0.7603640229805795,0.7117797581468867,0.8089482878142723,0.042537716433517114,True,BOL
2024,arima,0.7178263065470624,0.7460481047120215,0.6870439898206224,0.8050522196034207,0.028221798164959178,True,BOL
2024,bayesian,0.7178263065470624,0.8292051399397231,0.7712429431245053,0.887167336754941,0.11137883339266075,False,BOL
2024,xgboost,0.7178263065470624,0.7406845092773438,0.726079328462558,0.7552896900921295,0.022858202730281385,False,BOL
2015,naive,0.7290722483532568,0.7250992076533691,0.661581104714437,0.7886173105923012,0.003973040699887687,True,BRA
2015,ets,0.7290722483532568,0.6848379448155163,0.6276256310229353,0.7420502586080973,0.044234303537740494,True,BRA
2015,arima,0.7290722483532568,0.7008297127396311,0.6655652512187376,0.7360941742605247,0.028242535613625663,True,BRA
2015,bayesian,0.7290722483532568,0.692669023404605,0.632611575304558,0.752726471504652,0.03640322494865178,True,BRA
2015,xgboost,0.7290722483532568,0.6969361305236816,0.6880414474664838,0.7058308135808795,0.03213611782957515,False,BRA
2016,naive,0.723133073170102,0.7290722483532568,0.667692786580471,0.7904517101260425,0.005939175183154788,True,BRA
2016,ets,0.723133073170102,0.6941486339485939,0.6373631044440378,0.7509341634531501,0.028984439221508063,True,BRA
2016,arima,0.723133073170102,0.7196253603271643,0.684431045655208,0.7548196749991206,0.003507712842937716,True,BRA
2016,bayesian,0.723133073170102,0.697977798090124,0.6392564327341569,0.756699163446091,0.025155275079978057,True,BRA
