exporter,importer,year,value_usd
BRA,GTM,2003,163288138.0
BRA,ARG,2003,4559942398.0
BRA,COL,2003,748003431.0
BRA,HND,2003,72375032.0
BRA,BOL,2003,359288486.0
BRA,CHL,2003,1879955849.0
BRA,ECU,2003,354721539.0
BRA,MEX,2003,2740365541.0
BRA,PER,2003,487583483.0
BRA,MEX,2004,3940169565.0
BRA,ECU,2004,491553321.0
BRA,CHL,2004,2545323171.0
BRA,PER,2004,630615613.0
BRA,COL,2004,1034491963.0
BRA,BOL,2004,535324064.0
BRA,GTM,2004,252485481.0
BRA,HND,2004,90057836.0
BRA,ARG,2004,7371087001.0
BRA,COL,2005,1414458898.0
BRA,PER,2005,938220844.0
BRA,BOL,2005,632028657.0
BRA,ARG,2005,9967855202.0
BRA,ECU,2005,648638958.0
BRA,MEX,2005,4076225055.0
BRA,GTM,2005,334466289.0
BRA,HND,2005,139544973.0
BRA,CHL,2005,3625762680.0
BRA,ECU,2006,875175838.0
BRA,CHL,2006,3913046885.0
BRA,COL,2006,2138679309.0
BRA,MEX,2006,4455574846.0
BRA,ARG,2006,11733140807.0
BRA,PER,2006,1508175157.0
BRA,GTM,2006,322011169.0
BRA,BOL,2006,701530010.0
BRA,HND,2006,141589300.0
BRA,BOL,2007,850649983.0
BRA,MEX,2007,4259402767.0
BRA,HND,2007,131033650.0
BRA,COL,2007,2337942601.0
BRA,GTM,2007,256039992.0
BRA,CHL,2007,4263350795.0
BRA,PER,2007,1648358963.0
BRA,ECU,2007,661184657.0
BRA,ARG,2007,14409066223.0
BRA,BOL,2008,1135243055.0
BRA,ECU,2008,876438789.0
BRA,COL,2008,2292869631.0
BRA,CHL,2008,4790028940.0
BRA,ARG,2008,17598656298.0
BRA,MEX,2008,4278344164.0
BRA,PER,2008,2296461760.0
BRA,HND,2008,134590961.0
BRA,GTM,2008,243795890.0
BRA,MEX,2009,2674594859.0
BRA,HND,2009,80783904.0
BRA,GTM,2009,209031393.0
BRA,PER,2009,1488556704.0
BRA,ARG,2009,12781101996.0
BRA,COL,2009,1800110910.0
BRA,ECU,2009,637659317.0
BRA,CHL,2009,2653507807.0
BRA,BOL,2009,919220042.0
BRA,HND,2010,75004347.0
BRA,GTM,2010,255438414.0
BRA,MEX,2010,3714482128.0
BRA,ECU,2010,978200683.0
BRA,PER,2010,2019455115.0
BRA,BOL,2010,1162674875.0
BRA,COL,2010,2195080835.0
BRA,CHL,2010,4256776051.0
BRA,ARG,2010,18507273060.0
BRA,COL,2011,2575706023.0
BRA,BOL,2011,1511192508.0
BRA,ARG,2011,22701356452.0
BRA,PER,2011,2261006622.0
BRA,ECU,2011,932748971.0
BRA,MEX,2011,3956542804.0
BRA,CHL,2011,5417200596.0
BRA,HND,2011,96583975.0
BRA,GTM,2011,251138437.0
BRA,ARG,2012,17986736999.0
BRA,PER,2012,2410458739.0
BRA,CHL,2012,4601414246.0
BRA,COL,2012,2820837912.0
BRA,MEX,2012,4002461574.0
